,0,1
0,6.671788520538091e-09,8.592591539296178e-09
1,1.289021860428001e-08,1.9201608039001294e-08
2,1.5611600953851772e-08,2.5142360522495175e-08
3,1.5927056955881567e-08,2.8437115640176697e-08
4,1.4367638730377817e-08,2.917257867099653e-08
5,1.1317157299372906e-08,2.7347999093725384e-08
6,7.23203368000125e-09,2.3078115769772786e-08
7,2.8091783143068773e-09,1.6639230938687906e-08
8,-7.910902773513516e-10,8.565942001027047e-09
9,-1.465288247649135e-09,4.6464964241933237e-10
10,1.2125921834372798e-08,2.143972841892349e-08
11,2.6744922460692062e-08,4.026476462657671e-08
12,3.798254833804396e-08,5.4834823797704244e-08
13,4.497633357200534e-08,6.415017713912434e-08
14,4.735745581380033e-08,6.769507764215586e-08
15,4.510398452794733e-08,6.52634488099296e-08
16,3.856633613986625e-08,5.694281700660435e-08
17,2.8530712533181386e-08,4.316043667824915e-08
18,1.6236188705488598e-08,2.4776857110199868e-08
19,3.0977850138589355e-09,3.087995281422983e-09
20,1.8674494769148692e-08,3.4858643258195286e-08
21,4.3976622963967026e-08,6.557338679939972e-08
22,6.459489664494563e-08,8.977272044212431e-08
23,7.863828469138374e-08,1.0562581550146829e-07
24,8.498433592996353e-08,1.1218828332540207e-07
25,8.317974118025549e-08,1.090645350727082e-07
26,7.3405322746146e-08,9.62686160196594e-08
27,5.651934196080432e-08,7.428510689602652e-08
28,3.411669279561034e-08,4.4298441070867034e-08
29,8.441811670303872e-09,8.466560576035545e-09
30,2.7184627498724326e-08,5.157230327609185e-08
31,6.588700617253282e-08,9.738494824652721e-08
32,9.778057747127483e-08,1.3304465542065936e-07
33,1.1999939426778866e-07,1.5638137663283247e-07
34,1.3076672067232294e-07,1.663592768425952e-07
35,1.292328490398615e-07,1.6253214190506505e-07
36,1.15365647366388e-07,1.4477951684571626e-07
37,9.003609851759887e-08,1.1341394503409497e-07
38,5.528176013702027e-08,6.966994029212367e-08
39,1.4535086461571738e-08,1.6469845441975553e-08
40,3.860280025521061e-08,7.458241655656247e-08
41,9.46005755429891e-08,1.3933240997111202e-07
42,1.406405901995375e-07,1.8862322286239465e-07
43,1.7281596379598233e-07,2.2048144536666767e-07
44,1.888579193237861e-07,2.3432376985564892e-07
45,1.8763001040683228e-07,2.299169208580483e-07
46,1.6880172661399268e-07,2.0689870115155045e-07
47,1.3299317769697273e-07,1.649207834339713e-07
48,8.24558056954488e-08,1.0450194639583436e-07
49,2.2015407205197745e-08,2.864930164610541e-08
50,5.4307538005393625e-08,1.0836831798156634e-07
51,1.332662756408717e-07,1.9671539710665353e-07
52,1.973667583546485e-07,2.616125178508662e-07
53,2.417728147067579e-07,3.0257875212643616e-07
54,2.642298942394289e-07,3.205223533908639e-07
55,2.636418896619898e-07,3.159016476662661e-07
56,2.3923566856834473e-07,2.879701692977875e-07
57,1.9069970320381742e-07,2.348660457505716e-07
58,1.1955555807997137e-07,1.547715792685446e-07
59,3.178106985847537e-08,4.885898711571265e-08
60,7.649424783397066e-08,1.6070761917241102e-07
61,1.8678594356834303e-07,2.7751504221253843e-07
62,2.7379259952605444e-07,3.58503916527675e-07
63,3.326896999379808e-07,4.076753111369282e-07
64,3.6266177833749936e-07,4.29266530552682e-07
65,3.634901246037575e-07,4.2518227083900893e-07
66,3.3382137139513e-07,3.942032074536924e-07
67,2.710410904104691e-07,3.3179569712631337e-07
68,1.7331672769883268e-07,2.3086133413949043e-07
69,4.545682924342348e-08,8.574897919985e-08
70,1.0908256421121416e-07,2.4610129474120004e-07
71,2.6359158711832784e-07,3.940857720300052e-07
72,3.783406980490336e-07,4.871762077425397e-07
73,4.5254890212347554e-07,5.403246784258669e-07
74,4.902565863633575e-07,5.636646734127684e-07
75,4.938568310085262e-07,5.613394039662733e-07
76,4.615442496619522e-07,5.31848636186873e-07
77,3.8635957298809216e-07,4.6723995978486026e-07
78,2.5725615719128984e-07,3.511261262401936e-07
79,6.750417372013316e-08,1.5938313906599082e-07
80,1.614518762210926e-07,3.925404070873044e-07
81,3.801736456771325e-07,5.654828572185516e-07
82,5.234570330171413e-07,6.557477288466343e-07
83,6.089348527742507e-07,7.02754535139617e-07
84,6.519821091797595e-07,7.237064010230423e-07
85,6.601588727623554e-07,7.246413066947098e-07
86,6.321654116490199e-07,7.04589358410167e-07
87,5.556337950373523e-07,6.541653787954671e-07
88,4.019026924282327e-07,5.470039471621649e-07
89,1.1908021789960603e-07,3.186019114867555e-07
90,2.7739562860835834e-07,6.549496828851391e-07
91,5.722522945452817e-07,8.194676051686617e-07
92,7.264328201117725e-07,8.675386337969899e-07
93,8.077883816244811e-07,8.912191691673415e-07
94,8.486032959054954e-07,9.037485986290622e-07
95,8.626503412163374e-07,9.089097371051931e-07
96,8.513443257268833e-07,9.076724377759338e-07
97,8.021377653663005e-07,8.977832279339067e-07
98,6.757145792194914e-07,8.640572540521788e-07
99,3.680225639654198e-07,6.865744029051206e-07
