,0
0,11622884.942681875
1,5414957.573070889
2,5353681.623569562
3,5323570.265767638
4,5307027.244595897
5,5301172.75046097
6,5310285.526707423
7,5347950.6889562635
8,5443422.190854808
9,11641374.8612851
10,5560782.3997486755
11,-461.9726167973131
12,-11288.497527221683
13,-10000.439284932334
14,-9293.497062230948
15,-10651.455445962958
16,-13599.914971636143
17,-15194.383377466816
18,-2189.958533614874
19,5657935.999245283
20,5470424.08447947
21,3780.9444247512147
22,-3111.4466620869935
23,-5608.063367625233
24,-6583.518638015725
25,-7407.892387544271
26,-7867.280779142864
27,-6175.027151484974
28,615.7231408213265
29,5593868.282685714
30,5425016.791643902
31,2672.0689892717637
32,-1259.4671054142527
33,-3415.408985198941
34,-4519.793382197153
35,-4977.293603771366
36,-4654.6140172909945
37,-2904.3181412350386
38,1071.831853505224
39,5558873.585328624
40,5397178.887795359
41,928.6711777658202
42,-1110.9365960536525
43,-2498.8207295606844
44,-3289.7497277553193
45,-3485.7462648842484
46,-2939.7221812815405
47,-1383.947056339588
48,1372.08406263683
49,5539026.688451031
50,5376358.147478424
51,-376.58140778401867
52,-1366.4727031062357
53,-2197.031311593484
54,-2720.7342565595172
55,-2785.4526114943437
56,-2167.513623567298
57,-596.5678458404727
58,2109.264470471069
59,5529704.690436345
60,5358149.376349771
61,-1184.4275881224312
62,-1635.2926802234724
63,-2182.47039526375
64,-2639.8568481151015
65,-2798.6642281268723
66,-2296.6032105362974
67,-531.4947791118175
68,3232.001169931609
69,5531420.20114236
70,5340408.384236908
71,-1517.0147501649335
72,-1728.4867373150773
73,-2246.264432064723
74,-2902.306812667288
75,-3563.8222219785675
76,-3829.9709332142957
77,-2306.8196348040365
78,3656.305098921526
79,5551508.997977726
80,5321368.181039243
81,-940.0080887121148
82,-1341.1348813557997
83,-2156.786198753398
84,-3268.3255229946226
85,-5003.220599714667
86,-7697.394457389601
87,-10322.715103257913
88,-936.4835711172782
89,5613697.734125296
90,10580125.579346249
91,5301372.519570385
92,5304560.739123395
93,5309407.350168366
94,5317234.12069556
95,5329106.190089973
96,5346797.673589454
97,5375014.496668324
98,5430928.5253629405
99,11641813.6897301
