,0
0,1.0052509742888786e-06
1,9.996396316417196e-07
2,9.985362765598555e-07
3,9.992080920633143e-07
4,1.0003957053549803e-06
5,1.0017238546990425e-06
6,1.0029761511367534e-06
7,1.0035473108213178e-06
8,1.0017224706745462e-06
9,9.94117281574544e-07
10,1.0019554074790905e-06
11,1.0064558619330363e-06
12,1.005347279189515e-06
13,1.0040417231336284e-06
14,1.003116613610826e-06
15,1.0021565466430497e-06
16,1.0006494527013226e-06
17,9.983264183640958e-07
18,9.959914543792929e-07
19,9.982940426381902e-07
20,1.0012564449894717e-06
21,1.0056332915516117e-06
22,1.0064072122037986e-06
23,1.0055842061766807e-06
24,1.0042139692511472e-06
25,1.0024589168112646e-06
26,1.0002826558954719e-06
27,9.98016978799021e-07
28,9.969521689111884e-07
29,9.991135022516318e-07
30,1.0008047015831795e-06
31,1.004173204932409e-06
32,1.0056081436064177e-06
33,1.0054788991011054e-06
34,1.0044271717756038e-06
35,1.0028182991261138e-06
36,1.0009156839706488e-06
37,9.991953156489053e-07
38,9.98517208041464e-07
39,9.996227033062808e-07
40,1.0004928795516938e-06
41,1.0030615146093747e-06
42,1.0045379637393508e-06
43,1.0048318162235099e-06
44,1.004261238278157e-06
45,1.0031581291710499e-06
46,1.0018206690534044e-06
47,1.0005930467651314e-06
48,9.99891459645833e-07
49,1.0000107122259459e-06
50,1.0002685701833093e-06
51,1.0022841514307022e-06
52,1.0035857703812553e-06
53,1.0040636220737772e-06
54,1.0039023601687623e-06
55,1.0033604978186592e-06
56,1.0026562687274549e-06
57,1.001907024043369e-06
58,1.0011160762815122e-06
59,1.0003403414173146e-06
60,1.000087434475104e-06
61,1.0016952909366394e-06
62,1.0027341139121957e-06
63,1.003211755335983e-06
64,1.003304417388808e-06
65,1.0032443136921285e-06
66,1.0031957424751158e-06
67,1.0030747823072705e-06
68,1.002394805255242e-06
69,1.0006878264470768e-06
70,9.999175210872256e-07
71,1.0011723562561706e-06
72,1.0018654995979347e-06
73,1.0021702201137636e-06
74,1.0022998622926751e-06
75,1.0025141867488764e-06
76,1.0030457616445502e-06
77,1.003825106056421e-06
78,1.003871537127776e-06
79,1.00115155256008e-06
80,9.99687074004716e-07
81,1.0005895058162386e-06
82,1.0008656164770267e-06
83,1.000856743472834e-06
84,1.000753539050241e-06
85,1.0008184046658446e-06
86,1.001430746142185e-06
87,1.0029550973604e-06
88,1.0048714683527244e-06
89,1.0019623563083451e-06
90,9.9883700182715e-07
91,9.995356978102388e-07
92,9.996480942682989e-07
93,9.9937529314719e-07
94,9.988396281204797e-07
95,9.981554437167195e-07
96,9.97503847219187e-07
97,9.973731885711366e-07
98,9.991952962365682e-07
99,1.0060360877616166e-06
