,0
0,10712271.243240912
1,5260652.236567043
2,5267378.347207697
3,5281300.65966972
4,5290817.57576901
5,5295936.220201867
6,5299405.39272842
7,5301993.68622845
8,5292939.623028448
9,10342018.614438504
10,5278522.436969165
11,7903.230833397247
12,-4060.988887219224
13,-6495.399721002206
14,-4412.982209565118
15,-326.0886980476789
16,3932.99283981137
17,6837.275171871763
18,10250.8236130476
19,5293628.571371024
20,5286566.262678676
21,-1878.0249787350185
22,-2876.277508328203
23,-3839.199903709814
24,-3144.354399207514
25,-1455.285084381234
26,254.0569953294471
27,1215.5883507193066
28,2521.5823900029063
29,5276230.3672355395
30,5284755.389309453
31,-2687.1161842476577
32,-2363.298800208606
33,-2580.5307175279595
34,-2466.599803606514
35,-1961.3533097873442
36,-1412.5526122781448
37,-1257.4960829438642
38,-1714.341086840257
39,5277998.720499862
40,5281200.12363133
41,-1910.1895046513528
42,-1272.4866593293846
43,-1539.2343113971874
44,-1969.1796249020845
45,-2244.80000845436
46,-2394.6358440425247
47,-2688.386760002002
48,-3583.7774909017608
49,5281796.163220444
50,5276834.5057254555
51,48.319293295033276
52,642.3907617274672
53,-222.61597509263083
54,-1463.6070117205381
55,-2494.141914104577
56,-3137.5729637793265
57,-3554.8911980409175
58,-4241.583072818816
59,5285498.990994631
60,5272364.424222039
61,4500.1609295136295
62,4043.2332821772434
63,1660.7430531047285
64,-960.3372751814313
65,-2967.025855522137
66,-4019.266979732085
67,-4214.69452833198
68,-4376.616239556577
69,5288509.888645977
70,5270152.452832139
71,15004.487303175498
72,10204.618364260998
73,4325.141296532936
74,-667.1966636162251
75,-4140.73525045719
76,-5645.5219103428535
77,-4861.080354198348
78,-3512.149172704667
79,5289857.698686892
80,5284663.993297379
81,43579.85568161169
82,21565.486945722718
83,8198.357244987506
84,-889.4203931973316
85,-6797.9700165945105
86,-9323.397568505257
87,-6761.508160613012
88,5521.566722181626
89,5281060.082502715
90,10418481.268074647
91,5251482.83033956
92,5261282.056118587
93,5271203.945517664
94,5278508.6987088155
95,5280550.6336416695
96,5275560.749856821
97,5264782.513330145
98,5260717.003136626
99,10721890.852135863
