,0
0,8.59259152998395e-09
1,1.9201608030196082e-08
2,2.51423605167014e-08
3,2.843711563671569e-08
4,2.9172578669526285e-08
5,2.7347999094123298e-08
6,2.3078115772109568e-08
7,1.6639230943246035e-08
8,8.565942008399313e-09
9,4.6464965054019726e-10
10,2.1439728387637857e-08
11,4.02647646044227e-08
12,5.48348237829025e-08
13,6.415017713036715e-08
14,6.769507763866094e-08
15,6.526344881139581e-08
16,5.6942817013189475e-08
17,4.3160436690583716e-08
18,2.4776857129431682e-08
19,3.0879953092106688e-09
20,3.4858643210240655e-08
21,6.557338676567882e-08
22,8.977272041962363e-08
23,1.0562581548819788e-07
24,1.1218828332018367e-07
25,1.0906453507508457e-07
26,9.626861602986144e-08
27,7.428510691498822e-08
28,4.429844110029724e-08
29,8.466560618600507e-09
30,5.157230321620762e-08
31,9.738494820425365e-08
32,1.3304465539245027e-07
33,1.5638137661622742e-07
34,1.663592768361106e-07
35,1.625321419081204e-07
36,1.4477951685860058e-07
37,1.1341394505797411e-07
38,6.966994032908504e-08
39,1.646984549509884e-08
40,7.458241648948115e-08
41,1.3933240992383188e-07
42,1.8862322283093767e-07
43,2.2048144534821172e-07
44,2.3432376984847863e-07
45,2.2991692086149337e-07
46,2.0689870116595067e-07
47,1.6492078346068e-07
48,1.045019464372468e-07
49,2.8649301705669045e-08
50,1.0836831791237308e-07
51,1.967153970583445e-07
52,2.6161251781898345e-07
53,3.025787521078446e-07
54,3.2052235338367826e-07
55,3.159016476697609e-07
56,2.8797016931234984e-07
57,2.3486604577771435e-07
58,1.5477157931096063e-07
59,4.8858987177309255e-08
60,1.6070761910682537e-07
61,2.775150421676581e-07
62,3.585039164985016e-07
63,4.0767531112008624e-07
64,4.292665305462064e-07
65,4.2518227084216577e-07
66,3.942032074669037e-07
67,3.3179569715119697e-07
68,2.308613341790026e-07
69,8.574897925845846e-08
70,2.4610129468587127e-07
71,3.940857719935517e-07
72,4.871762077194515e-07
73,5.403246784127398e-07
74,5.636646734077364e-07
75,5.613394039686702e-07
76,5.318486361971145e-07
77,4.67239959804528e-07
78,3.511261262723339e-07
79,1.5938313911563735e-07
80,3.9254040705024873e-07
81,5.65482857196036e-07
82,6.557477288330364e-07
83,7.027545351320713e-07
84,7.237064010201207e-07
85,7.2464130669593e-07
86,7.045893584158564e-07
87,6.54165378806871e-07
88,5.470039471818981e-07
89,3.1860191152004525e-07
90,6.549496828766148e-07
91,8.194676051657085e-07
92,8.675386337957506e-07
93,8.912191691668074e-07
94,9.037485986287333e-07
95,9.089097371049085e-07
96,9.076724377758237e-07
97,8.977832279344292e-07
98,8.640572540542752e-07
99,6.865744029123701e-07
