-4.024869496575679e+295,
2.7210835554927013e+294,
7.545001582303502e+294,
8.130686440773292e+294,
8.035663953622056e+294,
7.563650750564077e+294,
6.41838192854834e+294,
3.3378098676508733e+294,
-8.679290748771557e+294,
-7.986108797038819e+295,
9.209821264744527e+294,
2.180355413055049e+279,
6.045674344794473e+279,
6.514973109593984e+279,
6.438833296171519e+279,
6.06061758859301e+279,
5.142934237618862e+279,
2.674527137540764e+279,
-6.954559894849004e+279,
-2.9376060995842193e+295,
6.102148352897285e+295,
1.4446373941512721e+280,
5.178111421355072e+279,
3.275368119161968e+279,
2.9953775731447365e+279,
3.0977142689076083e+279,
3.7857812644733857e+279,
6.764483626630445e+279,
1.7672368812056969e+280,
7.464808586215691e+295,
2.9857855846233012e+295,
7.068621175715365e+279,
1.8957079214533103e+279,
7.667693998924466e+278,
7.068386446666901e+278,
9.332989100892671e+278,
1.6334711735503558e+279,
4.0969340866349494e+279,
1.3137310623290089e+280,
5.5492000072798355e+295,
9.270629619652116e+293,
2.194751330409234e+278,
-1.1471588421754593e+278,
-2.8607909350089557e+278,
-2.522942320643827e+278,
-1.3447887208793765e+278,
1.5767948404629924e+278,
9.415632388799307e+278,
2.396650126364379e+279,
1.0123450133766972e+295,
-4.2455585685617187e+294,
-1.005103827784117e+279,
-3.063702031063107e+278,
-2.095397706477399e+278,
-2.858206193199796e+278,
-2.2026342536412147e+278,
4.48210521171734e+277,
2.600519988275715e+278,
-4.569069039114181e+278,
-1.929974762122561e+294,
-2.471184307619464e+295,
-5.850341637354469e+279,
-1.7177679930543544e+279,
-9.535804014939352e+278,
-9.664068052522576e+278,
-8.601477787151977e+278,
-5.671852696911717e+278,
-8.441359705821238e+278,
-4.0846257450898797e+279,
-1.7253459147266186e+295,
-5.685250277477464e+295,
-1.34593993311442e+280,
-5.029421690788672e+279,
-3.523942836757048e+279,
-3.3129919964997975e+279,
-3.1432824900877274e+279,
-2.9866574819626346e+279,
-4.006605150317994e+279,
-1.1871415189457132e+280,
-5.014485776028592e+295,
-1.8931619822096022e+295,
-4.4819175715189444e+279,
-7.997999611506952e+279,
-7.549012791194534e+279,
-7.009751559371092e+279,
-6.646542147417658e+279,
-6.566211190005351e+279,
-6.857551740652384e+279,
-6.021895390728216e+279,
-2.5436486130435985e+295,
4.567952962064988e+295,
-5.593433129255642e+294,
-9.981503515173472e+294,
-9.421167963422856e+294,
-8.748169946106338e+294,
-8.294884599987872e+294,
-8.194631565137184e+294,
-8.558224572345147e+294,
-7.515325447628814e+294,
4.5827446955347915e+295,
