"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.9559e-16,-6.1521e-16,-1.4333e-32,-8.341e-24,-4.9492e-24,0,0,0,0,-2.1229e-12,7.1629e-13,0,-5.1373e-13,-2.3549e-29,-1.4497e-29,1.8515e-12,-8.1665e-16,-3.0131e-16,-2.8665e-32,-5.1859e-24,-9.8985e-24,0,-4.9574,-0.52831,-1.6457,-0.80143,-3.6736e-17,-2.2616e-17,4.3325,-2.2726,1,0,0,0.000625,0
-8.1566e-16,-6.3706e-16,-1.4247e-32,-8.636e-24,-4.9976e-24,0,0,0,0,-2.1209e-12,7.1648e-13,0,-5.1182e-13,-2.3396e-29,-1.4279e-29,1.8498e-12,-8.3655e-16,-3.2568e-16,-2.8465e-32,-5.5061e-24,-9.9073e-24,0,-4.9518,-0.52547,-1.6432,-0.79845,-3.6498e-17,-2.2275e-17,4.3286,-2.2706,1,1e-05,1e-05,0.000625,0
-8.3573e-16,-6.5892e-16,-1.4162e-32,-8.9309e-24,-5.046e-24,0,0,0,0,-2.1189e-12,7.1667e-13,0,-5.0991e-13,-2.3243e-29,-1.4061e-29,1.8482e-12,-8.5645e-16,-3.5004e-16,-2.8265e-32,-5.8263e-24,-9.9161e-24,0,-4.9462,-0.52262,-1.6406,-0.79546,-3.626e-17,-2.1935e-17,4.3248,-2.2687,1,2e-05,2e-05,0.000625,0
-8.558e-16,-6.8077e-16,-1.4077e-32,-9.2259e-24,-5.0944e-24,0,0,0,0,-2.1169e-12,7.1687e-13,0,-5.08e-13,-2.3091e-29,-1.3843e-29,1.8465e-12,-8.7635e-16,-3.7441e-16,-2.8065e-32,-6.1465e-24,-9.9249e-24,0,-4.9405,-0.51978,-1.6381,-0.79248,-3.6022e-17,-2.1595e-17,4.3209,-2.2667,1,3e-05,3e-05,0.000625,0
-8.7588e-16,-7.0263e-16,-1.3991e-32,-9.5209e-24,-5.1428e-24,0,0,0,0,-2.115e-12,7.1706e-13,0,-5.0609e-13,-2.2938e-29,-1.3625e-29,1.8449e-12,-8.9625e-16,-3.9878e-16,-2.7865e-32,-6.4667e-24,-9.9337e-24,0,-4.9349,-0.51693,-1.6355,-0.7895,-3.5784e-17,-2.1254e-17,4.317,-2.2647,1,4e-05,4e-05,0.000625,0
-8.9595e-16,-7.2448e-16,-1.3906e-32,-9.8158e-24,-5.1912e-24,0,0,0,0,-2.113e-12,7.1725e-13,0,-5.0418e-13,-2.2786e-29,-1.3407e-29,1.8432e-12,-9.1616e-16,-4.2314e-16,-2.7665e-32,-6.7869e-24,-9.9425e-24,0,-4.9293,-0.51409,-1.633,-0.78652,-3.5546e-17,-2.0914e-17,4.3132,-2.2628,1,5e-05,5e-05,0.000625,0
-9.1602e-16,-7.4634e-16,-1.382e-32,-1.0111e-23,-5.2396e-24,0,0,0,0,-2.111e-12,7.1745e-13,0,-5.0227e-13,-2.2633e-29,-1.3188e-29,1.8416e-12,-9.3606e-16,-4.4751e-16,-2.7465e-32,-7.1071e-24,-9.9513e-24,0,-4.9236,-0.51124,-1.6305,-0.78354,-3.5308e-17,-2.0574e-17,4.3093,-2.2608,1,6e-05,6e-05,0.000625,0
-9.3609e-16,-7.6819e-16,-1.3735e-32,-1.0406e-23,-5.288e-24,0,0,0,0,-2.109e-12,7.1764e-13,0,-5.0036e-13,-2.2481e-29,-1.297e-29,1.8399e-12,-9.5596e-16,-4.7187e-16,-2.7265e-32,-7.4273e-24,-9.9601e-24,0,-4.918,-0.5084,-1.6279,-0.78056,-3.507e-17,-2.0234e-17,4.3054,-2.2588,1,7e-05,7e-05,0.000625,0
-9.5616e-16,-7.9005e-16,-1.365e-32,-1.0701e-23,-5.3364e-24,0,0,0,0,-2.107e-12,7.1783e-13,0,-4.9845e-13,-2.2328e-29,-1.2752e-29,1.8383e-12,-9.7586e-16,-4.9624e-16,-2.7065e-32,-7.7475e-24,-9.9689e-24,0,-4.9124,-0.50555,-1.6254,-0.77758,-3.4832e-17,-1.9893e-17,4.3015,-2.2569,1,8e-05,8e-05,0.000625,0
-9.7623e-16,-8.119e-16,-1.3564e-32,-1.0996e-23,-5.3848e-24,0,0,0,0,-2.1051e-12,7.1803e-13,0,-4.9653e-13,-2.2176e-29,-1.2534e-29,1.8366e-12,-9.9577e-16,-5.2061e-16,-2.6865e-32,-8.0677e-24,-9.9777e-24,0,-4.9067,-0.50271,-1.6228,-0.77459,-3.4594e-17,-1.9553e-17,4.2977,-2.2549,1,9e-05,9e-05,0.000625,0
-9.963e-16,-8.3376e-16,-1.3479e-32,-1.1291e-23,-5.4332e-24,0,0,0,0,-2.1031e-12,7.1822e-13,0,-4.9462e-13,-2.2023e-29,-1.2316e-29,1.835e-12,-1.0157e-15,-5.4497e-16,-2.6665e-32,-8.3879e-24,-9.9865e-24,0,-4.9011,-0.49986,-1.6203,-0.77161,-3.4356e-17,-1.9213e-17,4.2938,-2.2529,1,0.0001,0.0001,0.000625,0
-1.0164e-15,-8.5561e-16,-1.3394e-32,-1.1586e-23,-5.4816e-24,0,0,0,0,-2.1011e-12,7.1841e-13,0,-4.9271e-13,-2.1871e-29,-1.2098e-29,1.8333e-12,-1.0356e-15,-5.6934e-16,-2.6465e-32,-8.7081e-24,-9.9953e-24,0,-4.8955,-0.49702,-1.6177,-0.76863,-3.4118e-17,-1.8872e-17,4.2899,-2.251,1,0.00011,0.00011,0.000625,0
-1.0364e-15,-8.7747e-16,-1.3308e-32,-1.1881e-23,-5.53e-24,0,0,0,0,-2.0991e-12,7.1861e-13,0,-4.908e-13,-2.1718e-29,-1.188e-29,1.8317e-12,-1.0555e-15,-5.937e-16,-2.6265e-32,-9.0283e-24,-1.0004e-23,0,-4.8898,-0.49417,-1.6152,-0.76565,-3.388e-17,-1.8532e-17,4.2861,-2.249,1,0.00012,0.00012,0.000625,0
-1.0565e-15,-8.9932e-16,-1.3223e-32,-1.2176e-23,-5.5784e-24,0,0,0,0,-2.0971e-12,7.188e-13,0,-4.8889e-13,-2.1565e-29,-1.1661e-29,1.83e-12,-1.0754e-15,-6.1807e-16,-2.6065e-32,-9.3485e-24,-1.0013e-23,0,-4.8842,-0.49133,-1.6127,-0.76267,-3.3642e-17,-1.8192e-17,4.2822,-2.247,1,0.00013,0.00013,0.000625,0
-1.0766e-15,-9.2118e-16,-1.3137e-32,-1.247e-23,-5.6268e-24,0,0,0,0,-2.0952e-12,7.1899e-13,0,-4.8698e-13,-2.1413e-29,-1.1443e-29,1.8283e-12,-1.0953e-15,-6.4244e-16,-2.5865e-32,-9.6687e-24,-1.0022e-23,0,-4.8786,-0.48848,-1.6101,-0.75969,-3.3404e-17,-1.7851e-17,4.2783,-2.2451,1,0.00014,0.00014,0.000625,0
-1.0967e-15,-9.4303e-16,-1.3052e-32,-1.2765e-23,-5.6752e-24,0,0,0,0,-2.0932e-12,7.1919e-13,0,-4.8507e-13,-2.126e-29,-1.1225e-29,1.8267e-12,-1.1152e-15,-6.668e-16,-2.5665e-32,-9.9889e-24,-1.0031e-23,0,-4.8729,-0.48564,-1.6076,-0.7567,-3.3166e-17,-1.7511e-17,4.2745,-2.2431,1,0.00015,0.00015,0.000625,0
-1.1167e-15,-9.6489e-16,-1.2967e-32,-1.306e-23,-5.7236e-24,0,0,0,0,-2.0912e-12,7.1938e-13,0,-4.8316e-13,-2.1108e-29,-1.1007e-29,1.825e-12,-1.1351e-15,-6.9117e-16,-2.5465e-32,-1.0309e-23,-1.0039e-23,0,-4.8673,-0.48279,-1.605,-0.75372,-3.2928e-17,-1.7171e-17,4.2706,-2.2411,1,0.00016,0.00016,0.000625,0
-1.1368e-15,-9.8674e-16,-1.2881e-32,-1.3355e-23,-5.772e-24,0,0,0,0,-2.0892e-12,7.1957e-13,0,-4.8124e-13,-2.0955e-29,-1.0789e-29,1.8234e-12,-1.155e-15,-7.1554e-16,-2.5265e-32,-1.0629e-23,-1.0048e-23,0,-4.8617,-0.47995,-1.6025,-0.75074,-3.269e-17,-1.6831e-17,4.2667,-2.2392,1,0.00017,0.00017,0.000625,0
-1.1569e-15,-1.0086e-15,-1.2796e-32,-1.365e-23,-5.8204e-24,0,0,0,0,-2.0872e-12,7.1977e-13,0,-4.7933e-13,-2.0803e-29,-1.0571e-29,1.8217e-12,-1.1749e-15,-7.399e-16,-2.5065e-32,-1.095e-23,-1.0057e-23,0,-4.856,-0.4771,-1.5999,-0.74776,-3.2452e-17,-1.649e-17,4.2628,-2.2372,1,0.00018,0.00018,0.000625,0
-1.1769e-15,-1.0305e-15,-1.2711e-32,-1.3945e-23,-5.8688e-24,0,0,0,0,-2.0853e-12,7.1996e-13,0,-4.7742e-13,-2.065e-29,-1.0353e-29,1.8201e-12,-1.1948e-15,-7.6427e-16,-2.4865e-32,-1.127e-23,-1.0066e-23,0,-4.8504,-0.47426,-1.5974,-0.74478,-3.2214e-17,-1.615e-17,4.259,-2.2352,1,0.00019,0.00019,0.000625,0
-1.197e-15,-1.0523e-15,-1.2625e-32,-1.424e-23,-5.9172e-24,0,0,0,0,-2.0833e-12,7.2015e-13,0,-4.7551e-13,-2.0498e-29,-1.0134e-29,1.8184e-12,-1.2147e-15,-7.8863e-16,-2.4665e-32,-1.159e-23,-1.0075e-23,0,-4.8448,-0.47141,-1.5949,-0.7418,-3.1976e-17,-1.581e-17,4.2551,-2.2333,1,0.0002,0.0002,0.000625,0
-1.2171e-15,-1.0742e-15,-1.254e-32,-1.4535e-23,-5.9656e-24,0,0,0,0,-2.0813e-12,7.2035e-13,0,-4.736e-13,-2.0345e-29,-9.9164e-30,1.8168e-12,-1.2346e-15,-8.13e-16,-2.4465e-32,-1.191e-23,-1.0083e-23,0,-4.8391,-0.46857,-1.5923,-0.73882,-3.1738e-17,-1.5469e-17,4.2512,-2.2313,1,0.00021,0.00021,0.000625,0
-1.2371e-15,-1.096e-15,-1.2454e-32,-1.483e-23,-6.014e-24,0,0,0,0,-2.0793e-12,7.2054e-13,0,-4.7169e-13,-2.0192e-29,-9.6982e-30,1.8151e-12,-1.2545e-15,-8.3737e-16,-2.4265e-32,-1.223e-23,-1.0092e-23,0,-4.8335,-0.46572,-1.5898,-0.73583,-3.15e-17,-1.5129e-17,4.2474,-2.2293,1,0.00022,0.00022,0.000625,0
-1.2572e-15,-1.1179e-15,-1.2369e-32,-1.5125e-23,-6.0624e-24,0,0,0,0,-2.0773e-12,7.2073e-13,0,-4.6978e-13,-2.004e-29,-9.4801e-30,1.8135e-12,-1.2744e-15,-8.6173e-16,-2.4065e-32,-1.2551e-23,-1.0101e-23,0,-4.8279,-0.46288,-1.5872,-0.73285,-3.1262e-17,-1.4789e-17,4.2435,-2.2274,1,0.00023,0.00023,0.000625,0
-1.2773e-15,-1.1397e-15,-1.2284e-32,-1.542e-23,-6.1108e-24,0,0,0,0,-2.0754e-12,7.2093e-13,0,-4.6787e-13,-1.9887e-29,-9.2619e-30,1.8118e-12,-1.2943e-15,-8.861e-16,-2.3865e-32,-1.2871e-23,-1.011e-23,0,-4.8222,-0.46003,-1.5847,-0.72987,-3.1024e-17,-1.4449e-17,4.2396,-2.2254,1,0.00024,0.00024,0.000625,0
-1.2974e-15,-1.1616e-15,-1.2198e-32,-1.5715e-23,-6.1592e-24,0,0,0,0,-2.0734e-12,7.2112e-13,0,-4.6595e-13,-1.9735e-29,-9.0438e-30,1.8101e-12,-1.3142e-15,-9.1047e-16,-2.3665e-32,-1.3191e-23,-1.0119e-23,0,-4.8166,-0.45719,-1.5821,-0.72689,-3.0786e-17,-1.4108e-17,4.2357,-2.2234,1,0.00025,0.00025,0.000625,0
