"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.7056e-15,-3.0447e-14,-3.6933e-33,-2.7453e-22,-1.2794e-22,0,0,0,0,-2.3333e-13,2.7174e-13,0,-5.2442e-13,2.668e-29,1.7e-30,6.9221e-13,-9.7056e-15,-3.0447e-14,-3.6933e-33,-2.7453e-22,-1.2794e-22,0,-0.31906,0.46886,0.04494,-0.8181,4.162e-17,2.652e-18,1.6198,0.0047695,1,0.00926,0.00926,0.00125,0
-9.7077e-15,-3.0494e-14,-3.7657e-33,-2.7481e-22,-1.3045e-22,0,0,0,0,-2.3191e-13,2.7211e-13,0,-5.26e-13,2.6832e-29,1.677e-30,6.9344e-13,-9.7077e-15,-3.0494e-14,-3.7657e-33,-2.7481e-22,-1.3045e-22,0,-0.31475,0.47153,0.047035,-0.82055,4.1857e-17,2.6161e-18,1.6227,0.0066171,1,0.00927,0.00927,0.00125,0
-9.7099e-15,-3.0541e-14,-3.8382e-33,-2.751e-22,-1.3296e-22,0,0,0,0,-2.3049e-13,2.7248e-13,0,-5.2757e-13,2.6983e-29,1.654e-30,6.9467e-13,-9.7099e-15,-3.0541e-14,-3.8381e-33,-2.751e-22,-1.3296e-22,0,-0.31044,0.47421,0.049131,-0.82301,4.2094e-17,2.5803e-18,1.6255,0.0084649,1,0.00928,0.00928,0.00125,0
-9.712e-15,-3.0588e-14,-3.9106e-33,-2.7538e-22,-1.3547e-22,0,0,0,0,-2.2907e-13,2.7286e-13,0,-5.2915e-13,2.7135e-29,1.6311e-30,6.959e-13,-9.712e-15,-3.0588e-14,-3.9106e-33,-2.7538e-22,-1.3547e-22,0,-0.30613,0.47688,0.051226,-0.82547,4.2331e-17,2.5445e-18,1.6284,0.010313,1,0.00929,0.00929,0.00125,0
-9.7142e-15,-3.0635e-14,-3.983e-33,-2.7566e-22,-1.3798e-22,0,0,0,0,-2.2765e-13,2.7323e-13,0,-5.3072e-13,2.7287e-29,1.6081e-30,6.9713e-13,-9.7142e-15,-3.0635e-14,-3.983e-33,-2.7566e-22,-1.3798e-22,0,-0.30181,0.47955,0.053322,-0.82793,4.2567e-17,2.5086e-18,1.6313,0.01216,1,0.0093,0.0093,0.00125,0
-9.7163e-15,-3.0682e-14,-4.0554e-33,-2.7595e-22,-1.4049e-22,0,0,0,0,-2.2623e-13,2.736e-13,0,-5.323e-13,2.7438e-29,1.5851e-30,6.9836e-13,-9.7163e-15,-3.0682e-14,-4.0554e-33,-2.7595e-22,-1.4049e-22,0,-0.2975,0.48223,0.055418,-0.83039,4.2804e-17,2.4728e-18,1.6342,0.014008,1,0.00931,0.00931,0.00125,0
-9.7185e-15,-3.0729e-14,-4.1278e-33,-2.7623e-22,-1.43e-22,0,0,0,0,-2.2481e-13,2.7397e-13,0,-5.3388e-13,2.759e-29,1.5621e-30,6.9959e-13,-9.7185e-15,-3.0729e-14,-4.1278e-33,-2.7623e-22,-1.4299e-22,0,-0.29319,0.4849,0.057513,-0.83285,4.3041e-17,2.4369e-18,1.637,0.015856,1,0.00932,0.00932,0.00125,0
-9.7207e-15,-3.0776e-14,-4.2002e-33,-2.7651e-22,-1.455e-22,0,0,0,0,-2.2339e-13,2.7434e-13,0,-5.3545e-13,2.7742e-29,1.5392e-30,7.0082e-13,-9.7206e-15,-3.0776e-14,-4.2002e-33,-2.7651e-22,-1.455e-22,0,-0.28888,0.48758,0.059609,-0.8353,4.3277e-17,2.4011e-18,1.6399,0.017703,1,0.00933,0.00933,0.00125,0
-9.7228e-15,-3.0823e-14,-4.2727e-33,-2.768e-22,-1.4801e-22,0,0,0,0,-2.2197e-13,2.7471e-13,0,-5.3703e-13,2.7894e-29,1.5162e-30,7.0204e-13,-9.7228e-15,-3.0823e-14,-4.2726e-33,-2.768e-22,-1.4801e-22,0,-0.28457,0.49025,0.061704,-0.83776,4.3514e-17,2.3653e-18,1.6428,0.019551,1,0.00934,0.00934,0.00125,0
-9.725e-15,-3.087e-14,-4.3451e-33,-2.7708e-22,-1.5052e-22,0,0,0,0,-2.2055e-13,2.7508e-13,0,-5.386e-13,2.8045e-29,1.4932e-30,7.0327e-13,-9.725e-15,-3.087e-14,-4.3451e-33,-2.7708e-22,-1.5052e-22,0,-0.28026,0.49292,0.0638,-0.84022,4.3751e-17,2.3294e-18,1.6457,0.021399,1,0.00935,0.00935,0.00125,0
-9.7271e-15,-3.0916e-14,-4.4175e-33,-2.7736e-22,-1.5303e-22,0,0,0,0,-2.1913e-13,2.7545e-13,0,-5.4018e-13,2.8197e-29,1.4702e-30,7.045e-13,-9.7271e-15,-3.0917e-14,-4.4175e-33,-2.7736e-22,-1.5303e-22,0,-0.27594,0.4956,0.065896,-0.84268,4.3987e-17,2.2936e-18,1.6485,0.023246,1,0.00936,0.00936,0.00125,0
-9.7293e-15,-3.0963e-14,-4.4899e-33,-2.7764e-22,-1.5554e-22,0,0,0,0,-2.1771e-13,2.7582e-13,0,-5.4175e-13,2.8349e-29,1.4473e-30,7.0573e-13,-9.7293e-15,-3.0963e-14,-4.4899e-33,-2.7764e-22,-1.5554e-22,0,-0.27163,0.49827,0.067991,-0.84514,4.4224e-17,2.2578e-18,1.6514,0.025094,1,0.00937,0.00937,0.00125,0
-9.7314e-15,-3.101e-14,-4.5623e-33,-2.7793e-22,-1.5805e-22,0,0,0,0,-2.1629e-13,2.7619e-13,0,-5.4333e-13,2.8501e-29,1.4243e-30,7.0696e-13,-9.7314e-15,-3.101e-14,-4.5623e-33,-2.7793e-22,-1.5805e-22,0,-0.26732,0.50094,0.070087,-0.84759,4.4461e-17,2.2219e-18,1.6543,0.026942,1,0.00938,0.00938,0.00125,0
-9.7336e-15,-3.1057e-14,-4.6348e-33,-2.7821e-22,-1.6056e-22,0,0,0,0,-2.1487e-13,2.7656e-13,0,-5.4491e-13,2.8652e-29,1.4013e-30,7.0819e-13,-9.7336e-15,-3.1057e-14,-4.6347e-33,-2.7821e-22,-1.6056e-22,0,-0.26301,0.50362,0.072182,-0.85005,4.4698e-17,2.1861e-18,1.6572,0.02879,1,0.00939,0.00939,0.00125,0
-9.7357e-15,-3.1104e-14,-4.7072e-33,-2.7849e-22,-1.6306e-22,0,0,0,0,-2.1345e-13,2.7693e-13,0,-5.4648e-13,2.8804e-29,1.3784e-30,7.0942e-13,-9.7357e-15,-3.1104e-14,-4.7072e-33,-2.7849e-22,-1.6306e-22,0,-0.2587,0.50629,0.074278,-0.85251,4.4934e-17,2.1502e-18,1.66,0.030637,1,0.0094,0.0094,0.00125,0
-9.7379e-15,-3.1151e-14,-4.7796e-33,-2.7878e-22,-1.6557e-22,0,0,0,0,-2.1203e-13,2.773e-13,0,-5.4806e-13,2.8956e-29,1.3554e-30,7.1065e-13,-9.7379e-15,-3.1151e-14,-4.7796e-33,-2.7878e-22,-1.6557e-22,0,-0.25439,0.50896,0.076374,-0.85497,4.5171e-17,2.1144e-18,1.6629,0.032485,1,0.00941,0.00941,0.00125,0
-9.74e-15,-3.1198e-14,-4.852e-33,-2.7906e-22,-1.6808e-22,0,0,0,0,-2.1061e-13,2.7767e-13,0,-5.4963e-13,2.9107e-29,1.3324e-30,7.1188e-13,-9.74e-15,-3.1198e-14,-4.852e-33,-2.7906e-22,-1.6808e-22,0,-0.25007,0.51164,0.078469,-0.85743,4.5408e-17,2.0786e-18,1.6658,0.034333,1,0.00942,0.00942,0.00125,0
