"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.7924e-08,-5.4702e-06,0,2.7924e-08,-5.4702e-06,0,0,0,0,8.5341e-07,-1.2123e-07,0,-7.3815e-06,2.9105e-22,2.6377e-21,8.9028e-05,2.7926e-08,-5.4702e-06,0,2.7926e-08,-5.4702e-06,0,2.1581e+05,65850,84510,-1.1356e+06,4.4778e-11,4.0581e-10,2.0545e+07,1.2205e+05,1,0.03,0.03,0.05,0
3.278e-08,-6.0854e-06,0,3.278e-08,-6.0854e-06,0,0,0,0,7.6308e-07,-5.2812e-08,0,-7.2764e-06,-4.5917e-22,3.7408e-21,8.9514e-05,3.2783e-08,-6.0854e-06,0,3.2783e-08,-6.0854e-06,0,1.9939e+05,73846,81980,-1.1194e+06,-7.064e-11,5.7551e-10,2.0657e+07,1.184e+05,1,0.032,0.032,0.05,0
3.7636e-08,-6.7006e-06,0,3.7636e-08,-6.7006e-06,0,0,0,0,6.7275e-07,1.5603e-08,0,-7.1712e-06,-1.2094e-21,4.8439e-21,9e-05,3.764e-08,-6.7006e-06,0,3.764e-08,-6.7006e-06,0,1.8296e+05,81842,79450,-1.1033e+06,-1.8606e-10,7.4522e-10,2.0769e+07,1.1475e+05,1,0.034,0.034,0.05,0
4.2493e-08,-7.3157e-06,0,4.2493e-08,-7.3157e-06,0,0,0,0,5.8242e-07,8.4017e-08,0,-7.066e-06,-1.9596e-21,5.947e-21,9.0485e-05,4.2497e-08,-7.3157e-06,0,4.2497e-08,-7.3157e-06,0,1.6653e+05,89838,76920,-1.0871e+06,-3.0147e-10,9.1493e-10,2.0881e+07,1.1109e+05,1,0.036,0.036,0.05,0
4.7349e-08,-7.9309e-06,0,4.7349e-08,-7.9309e-06,0,0,0,0,4.9209e-07,1.5243e-07,0,-6.9608e-06,-2.7098e-21,7.0501e-21,9.0971e-05,4.7354e-08,-7.9309e-06,0,4.7354e-08,-7.9309e-06,0,1.501e+05,97834,74390,-1.0709e+06,-4.1689e-10,1.0846e-09,2.0993e+07,1.0744e+05,1,0.038,0.038,0.05,0
5.2205e-08,-8.5461e-06,0,5.2205e-08,-8.5461e-06,0,0,0,0,4.0176e-07,2.2085e-07,0,-6.8556e-06,-3.46e-21,8.1532e-21,9.1456e-05,5.2211e-08,-8.5461e-06,0,5.2211e-08,-8.5461e-06,0,1.3368e+05,1.0583e+05,71860,-1.0547e+06,-5.3231e-10,1.2543e-09,2.1105e+07,1.0378e+05,1,0.04,0.04,0.05,0
4.8957e-08,-9.5877e-06,0,4.8957e-08,-9.5877e-06,0,0,0,0,7.3531e-07,-2.7355e-08,0,-7.1526e-06,-3.4096e-21,9.2638e-21,9.1907e-05,4.8961e-08,-9.5877e-06,0,4.8961e-08,-9.5877e-06,0,1.9484e+05,77492,81706,-1.1004e+06,-5.2456e-10,1.4252e-09,2.1209e+07,1.1801e+05,1,0.042,0.042,0.05,0
4.5709e-08,-1.0629e-05,0,4.5709e-08,-1.0629e-05,0,0,0,0,1.0689e-06,-2.7556e-07,0,-7.4496e-06,-3.3592e-21,1.0374e-20,9.2357e-05,4.5712e-08,-1.0629e-05,0,4.5712e-08,-1.0629e-05,0,2.56e+05,49155,91552,-1.1461e+06,-5.168e-10,1.5961e-09,2.1313e+07,1.3223e+05,1,0.044,0.044,0.05,0
4.2461e-08,-1.1671e-05,0,4.2461e-08,-1.1671e-05,0,0,0,0,1.4024e-06,-5.2376e-07,0,-7.7467e-06,-3.3088e-21,1.1485e-20,9.2807e-05,4.2462e-08,-1.1671e-05,0,4.2462e-08,-1.1671e-05,0,3.1716e+05,20817,1.014e+05,-1.1918e+06,-5.0905e-10,1.7669e-09,2.1417e+07,1.4646e+05,1,0.046,0.046,0.05,0
3.9212e-08,-1.2712e-05,0,3.9212e-08,-1.2712e-05,0,0,0,0,1.736e-06,-7.7196e-07,0,-8.0437e-06,-3.2584e-21,1.2596e-20,9.3258e-05,3.9213e-08,-1.2712e-05,0,3.9213e-08,-1.2712e-05,0,3.7833e+05,-7520.4,1.1124e+05,-1.2375e+06,-5.013e-10,1.9378e-09,2.1521e+07,1.6068e+05,1,0.048,0.048,0.05,0
3.5964e-08,-1.3754e-05,0,3.5964e-08,-1.3754e-05,0,0,0,0,2.0695e-06,-1.0202e-06,0,-8.3407e-06,-3.208e-21,1.3706e-20,9.3708e-05,3.5963e-08,-1.3754e-05,0,3.5963e-08,-1.3754e-05,0,4.3949e+05,-35858,1.2109e+05,-1.2832e+06,-4.9354e-10,2.1087e-09,2.1625e+07,1.7491e+05,1,0.05,0.05,0.05,0
3.2716e-08,-1.4796e-05,0,3.2716e-08,-1.4796e-05,0,0,0,0,2.4031e-06,-1.2684e-06,0,-8.6377e-06,-3.1576e-21,1.4817e-20,9.4159e-05,3.2714e-08,-1.4796e-05,0,3.2714e-08,-1.4796e-05,0,5.0065e+05,-64196,1.3094e+05,-1.3289e+06,-4.8579e-10,2.2795e-09,2.1729e+07,1.8913e+05,1,0.052,0.052,0.05,0
2.9468e-08,-1.5837e-05,0,2.9468e-08,-1.5837e-05,0,0,0,0,2.7366e-06,-1.5166e-06,0,-8.9348e-06,-3.1073e-21,1.5927e-20,9.4609e-05,2.9464e-08,-1.5837e-05,0,2.9464e-08,-1.5837e-05,0,5.6181e+05,-92533,1.4078e+05,-1.3746e+06,-4.7804e-10,2.4504e-09,2.1833e+07,2.0336e+05,1,0.054,0.054,0.05,0
2.622e-08,-1.6879e-05,0,2.622e-08,-1.6879e-05,0,0,0,0,3.0702e-06,-1.7648e-06,0,-9.2318e-06,-3.0569e-21,1.7038e-20,9.506e-05,2.6215e-08,-1.6879e-05,0,2.6215e-08,-1.6879e-05,0,6.2297e+05,-1.2087e+05,1.5063e+05,-1.4203e+06,-4.7028e-10,2.6212e-09,2.1937e+07,2.1758e+05,1,0.056,0.056,0.05,0
2.2971e-08,-1.792e-05,0,2.2971e-08,-1.792e-05,0,0,0,0,3.4037e-06,-2.013e-06,0,-9.5288e-06,-3.0065e-21,1.8149e-20,9.551e-05,2.2965e-08,-1.792e-05,0,2.2965e-08,-1.792e-05,0,6.8414e+05,-1.4921e+05,1.6047e+05,-1.466e+06,-4.6253e-10,2.7921e-09,2.2041e+07,2.3181e+05,1,0.058,0.058,0.05,0
1.9723e-08,-1.8962e-05,0,1.9723e-08,-1.8962e-05,0,0,0,0,3.7373e-06,-2.2612e-06,0,-9.8258e-06,-2.9561e-21,1.9259e-20,9.596e-05,1.9716e-08,-1.8962e-05,0,1.9716e-08,-1.8962e-05,0,7.453e+05,-1.7755e+05,1.7032e+05,-1.5117e+06,-4.5478e-10,2.963e-09,2.2145e+07,2.4603e+05,1,0.06,0.06,0.05,0
2.5828e-09,-2.0399e-05,0,2.5828e-09,-2.0399e-05,0,0,0,0,3.7339e-06,-2.2584e-06,0,-9.8003e-06,-2.9827e-21,1.9429e-20,9.5893e-05,2.5751e-09,-2.0399e-05,0,2.5751e-09,-2.0399e-05,0,7.447e+05,-1.7719e+05,1.7025e+05,-1.5077e+06,-4.5888e-10,2.9891e-09,2.2129e+07,2.4592e+05,1,0.062,0.062,0.05,0
-1.4558e-08,-2.1835e-05,0,-1.4558e-08,-2.1835e-05,0,0,0,0,3.7305e-06,-2.2556e-06,0,-9.7748e-06,-3.0093e-21,1.9599e-20,9.5826e-05,-1.4566e-08,-2.1835e-05,0,-1.4566e-08,-2.1835e-05,0,7.4409e+05,-1.7684e+05,1.7017e+05,-1.5038e+06,-4.6297e-10,3.0153e-09,2.2114e+07,2.4582e+05,1,0.064,0.064,0.05,0
-3.1698e-08,-2.3272e-05,0,-3.1698e-08,-2.3272e-05,0,0,0,0,3.7271e-06,-2.2528e-06,0,-9.7493e-06,-3.036e-21,1.9769e-20,9.5758e-05,-3.1707e-08,-2.3272e-05,0,-3.1707e-08,-2.3272e-05,0,7.4349e+05,-1.7648e+05,1.701e+05,-1.4999e+06,-4.6707e-10,3.0414e-09,2.2098e+07,2.4571e+05,1,0.066,0.066,0.05,0
-4.8839e-08,-2.4708e-05,0,-4.8839e-08,-2.4708e-05,0,0,0,0,3.7237e-06,-2.25e-06,0,-9.7238e-06,-3.0626e-21,1.9939e-20,9.5691e-05,-4.8848e-08,-2.4708e-05,0,-4.8848e-08,-2.4708e-05,0,7.4289e+05,-1.7613e+05,1.7003e+05,-1.496e+06,-4.7117e-10,3.0676e-09,2.2082e+07,2.4561e+05,1,0.068,0.068,0.05,0
-6.5979e-08,-2.6145e-05,0,-6.5979e-08,-2.6145e-05,0,0,0,0,3.7203e-06,-2.2473e-06,0,-9.6982e-06,-3.0892e-21,2.0109e-20,9.5623e-05,-6.5989e-08,-2.6145e-05,0,-6.5989e-08,-2.6145e-05,0,7.4229e+05,-1.7578e+05,1.6995e+05,-1.492e+06,-4.7526e-10,3.0937e-09,2.2067e+07,2.455e+05,1,0.07,0.07,0.05,0
-8.3119e-08,-2.7581e-05,0,-8.3119e-08,-2.7581e-05,0,0,0,0,3.7168e-06,-2.2445e-06,0,-9.6727e-06,-3.1159e-21,2.0279e-20,9.5556e-05,-8.3129e-08,-2.7581e-05,0,-8.3129e-08,-2.7581e-05,0,7.4169e+05,-1.7542e+05,1.6988e+05,-1.4881e+06,-4.7936e-10,3.1199e-09,2.2051e+07,2.4539e+05,1,0.072,0.072,0.05,0
-1.0026e-07,-2.9018e-05,0,-1.0026e-07,-2.9018e-05,0,0,0,0,3.7134e-06,-2.2417e-06,0,-9.6472e-06,-3.1425e-21,2.0449e-20,9.5488e-05,-1.0027e-07,-2.9018e-05,0,-1.0027e-07,-2.9018e-05,0,7.4108e+05,-1.7507e+05,1.698e+05,-1.4842e+06,-4.8346e-10,3.146e-09,2.2036e+07,2.4529e+05,1,0.074,0.074,0.05,0
