"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.2362e-17,-4.956e-16,-2.4096e-34,3.2362e-17,-4.956e-16,-2.4096e-34,0,0,0,1.6414e-17,-6.9708e-18,0,-2.7841e-19,1.0225e-32,-1.7427e-32,1.3878e-17,3.2362e-17,-4.956e-16,-2.4096e-34,3.2362e-17,-4.956e-16,-2.4096e-34,3.6655e-05,1.7458e-07,1.1049e-05,-4.3432e-07,1.5952e-20,-2.7186e-20,3.2475e-05,1.6323e-05,1,1.086,1.086,0.09,0
3.2399e-17,-4.9722e-16,-2.3183e-34,3.2399e-17,-4.9722e-16,-2.3183e-34,0,0,0,1.6379e-17,-6.9556e-18,0,-2.7842e-19,1.0335e-32,-1.4368e-32,1.3848e-17,3.24e-17,-4.9722e-16,-2.3183e-34,3.24e-17,-4.9722e-16,-2.3183e-34,3.6575e-05,1.7409e-07,1.1025e-05,-4.3433e-07,1.6123e-20,-2.2414e-20,3.2405e-05,1.6288e-05,1,1.088,1.088,0.09,0
3.2437e-17,-4.9885e-16,-2.2269e-34,3.2437e-17,-4.9885e-16,-2.2269e-34,0,0,0,1.6343e-17,-6.9405e-18,0,-2.7842e-19,1.0445e-32,-1.1309e-32,1.3818e-17,3.2437e-17,-4.9885e-16,-2.2269e-34,3.2437e-17,-4.9885e-16,-2.2269e-34,3.6495e-05,1.736e-07,1.1001e-05,-4.3434e-07,1.6295e-20,-1.7642e-20,3.2334e-05,1.6252e-05,1,1.09,1.09,0.09,0
3.2474e-17,-5.0047e-16,-2.1356e-34,3.2474e-17,-5.0047e-16,-2.1356e-34,0,0,0,1.6307e-17,-6.9253e-18,0,-2.7843e-19,1.0555e-32,-8.2497e-33,1.3788e-17,3.2474e-17,-5.0047e-16,-2.1356e-34,3.2474e-17,-5.0047e-16,-2.1356e-34,3.6415e-05,1.7311e-07,1.0977e-05,-4.3435e-07,1.6466e-20,-1.287e-20,3.2263e-05,1.6216e-05,1,1.092,1.092,0.09,0
3.2512e-17,-5.021e-16,-2.0443e-34,3.2512e-17,-5.021e-16,-2.0443e-34,0,0,0,1.6271e-17,-6.9101e-18,0,-2.7843e-19,1.0665e-32,-5.1907e-33,1.3758e-17,3.2512e-17,-5.021e-16,-2.0443e-34,3.2512e-17,-5.021e-16,-2.0443e-34,3.6336e-05,1.7262e-07,1.0952e-05,-4.3436e-07,1.6638e-20,-8.0974e-21,3.2193e-05,1.6181e-05,1,1.094,1.094,0.09,0
3.2549e-17,-5.0372e-16,-1.953e-34,3.2549e-17,-5.0372e-16,-1.953e-34,0,0,0,1.6235e-17,-6.895e-18,0,-2.7844e-19,1.0775e-32,-2.1316e-33,1.3727e-17,3.2549e-17,-5.0372e-16,-1.953e-34,3.2549e-17,-5.0372e-16,-1.953e-34,3.6256e-05,1.7213e-07,1.0928e-05,-4.3436e-07,1.6809e-20,-3.3253e-21,3.2122e-05,1.6145e-05,1,1.096,1.096,0.09,0
3.2586e-17,-5.0535e-16,-1.8616e-34,3.2586e-17,-5.0535e-16,-1.8616e-34,0,0,0,1.62e-17,-6.8798e-18,0,-2.7844e-19,1.0885e-32,9.276e-34,1.3697e-17,3.2586e-17,-5.0535e-16,-1.8616e-34,3.2586e-17,-5.0535e-16,-1.8616e-34,3.6176e-05,1.7164e-07,1.0904e-05,-4.3437e-07,1.6981e-20,1.4471e-21,3.2052e-05,1.6109e-05,1,1.098,1.098,0.09,0
3.2624e-17,-5.0697e-16,-1.7703e-34,3.2624e-17,-5.0697e-16,-1.7703e-34,0,0,0,1.6164e-17,-6.8647e-18,0,-2.7845e-19,1.0995e-32,3.9867e-33,1.3667e-17,3.2624e-17,-5.0697e-16,-1.7703e-34,3.2624e-17,-5.0697e-16,-1.7703e-34,3.6096e-05,1.7115e-07,1.088e-05,-4.3438e-07,1.7152e-20,6.2192e-21,3.1981e-05,1.6074e-05,1,1.1,1.1,0.09,0
3.266e-17,-5.0862e-16,-1.4131e-34,3.266e-17,-5.0862e-16,-1.4131e-34,0,0,0,1.6128e-17,-6.8495e-18,0,-2.7849e-19,9.2152e-33,4.0715e-33,1.3637e-17,3.266e-17,-5.0862e-16,-1.4131e-34,3.266e-17,-5.0862e-16,-1.4131e-34,3.6016e-05,1.7078e-07,1.0856e-05,-4.3445e-07,1.4376e-20,6.3515e-21,3.191e-05,1.6038e-05,1,1.102,1.102,0.09,0
3.2697e-17,-5.1026e-16,-1.0559e-34,3.2697e-17,-5.1026e-16,-1.0559e-34,0,0,0,1.6092e-17,-6.8342e-18,0,-2.7853e-19,7.4353e-33,4.1564e-33,1.3607e-17,3.2697e-17,-5.1026e-16,-1.0559e-34,3.2697e-17,-5.1026e-16,-1.0559e-34,3.5936e-05,1.7042e-07,1.0832e-05,-4.3451e-07,1.1599e-20,6.4839e-21,3.184e-05,1.6003e-05,1,1.104,1.104,0.09,0
3.2733e-17,-5.1191e-16,-6.9872e-35,3.2733e-17,-5.1191e-16,-6.9872e-35,0,0,0,1.6056e-17,-6.819e-18,0,-2.7858e-19,5.6553e-33,4.2412e-33,1.3576e-17,3.2733e-17,-5.1191e-16,-6.9872e-35,3.2733e-17,-5.1191e-16,-6.9872e-35,3.5856e-05,1.7006e-07,1.0808e-05,-4.3458e-07,8.8223e-21,6.6163e-21,3.1769e-05,1.5967e-05,1,1.106,1.106,0.09,0
3.277e-17,-5.1355e-16,-3.415e-35,3.277e-17,-5.1355e-16,-3.415e-35,0,0,0,1.6021e-17,-6.8038e-18,0,-2.7862e-19,3.8752e-33,4.3261e-33,1.3546e-17,3.277e-17,-5.1355e-16,-3.415e-35,3.277e-17,-5.1355e-16,-3.415e-35,3.5776e-05,1.6969e-07,1.0784e-05,-4.3464e-07,6.0454e-21,6.7486e-21,3.1698e-05,1.5932e-05,1,1.108,1.108,0.09,0
