"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.2776e-20,-4.2349e-20,8.7999e-37,-8.4609e-26,-5.0388e-27,0,0,0,0,5.4238e-17,-1.8069e-17,0,-1.1733e-17,-2.5772e-33,3.645e-33,4.6259e-17,4.607e-20,-2.3744e-20,1.76e-36,-2.0723e-25,2.799e-27,0,0.00012693,1.4131e-05,4.2318e-05,-1.8304e-05,-4.0205e-21,5.6863e-21,0.00010825,6.0265e-05,1,0,0,0.098,0
1.4988e-19,-1.162e-19,-5.9363e-36,-2.1166e-26,4.9802e-26,0,0,0,0,5.2742e-17,-1.8945e-17,0,-7.7486e-18,-1.8092e-33,7.925e-34,4.4605e-17,1.4653e-19,-1.069e-19,-5.4963e-36,-8.2478e-26,5.3721e-26,0,0.00012182,9.989e-06,3.9543e-05,-1.2088e-05,-2.8223e-21,1.2363e-21,0.00010437,5.7906e-05,1,0.002,0.002,0.098,0
2.4698e-19,-1.9005e-19,-1.2753e-35,4.2278e-26,1.0464e-25,0,0,0,0,5.1246e-17,-1.9821e-17,0,-3.7639e-18,-1.0411e-33,-2.06e-33,4.295e-17,2.4698e-19,-1.9005e-19,-1.2753e-35,4.2278e-26,1.0464e-25,0,0.00011671,5.8468e-06,3.6767e-05,-5.8717e-06,-1.6242e-21,-3.2136e-21,0.0001005,5.5546e-05,1,0.004,0.004,0.098,0
3.4118e-19,-2.4305e-19,-1.7769e-35,2.3836e-25,2.3964e-25,0,0,0,0,5.0412e-17,-2.017e-17,0,-2.7087e-18,3.2559e-34,-5.6219e-33,4.2343e-17,3.4118e-19,-2.4305e-19,-1.7769e-35,2.3836e-25,2.3964e-25,0,0.00011403,3.9177e-06,3.5383e-05,-4.2256e-06,5.0792e-22,-8.7702e-21,9.9083e-05,5.2616e-05,1,0.006,0.006,0.098,0
4.3537e-19,-2.9605e-19,-2.2785e-35,4.3444e-25,3.7464e-25,0,0,0,0,4.9578e-17,-2.0519e-17,0,-1.6535e-18,1.6923e-33,-9.1839e-33,4.1736e-17,4.3537e-19,-2.9605e-19,-2.2785e-35,4.3444e-25,3.7464e-25,0,0.00011134,1.9887e-06,3.3999e-05,-2.5795e-06,2.64e-21,-1.4327e-20,9.7662e-05,4.9686e-05,1,0.008,0.008,0.098,0
5.3259e-19,-3.4203e-19,-1.8123e-35,7.0861e-25,5.196e-25,0,0,0,0,4.918e-17,-2.0562e-17,0,-1.171e-18,2.1963e-33,-8.5391e-33,4.1453e-17,5.3259e-19,-3.4203e-19,-1.8123e-35,7.0861e-25,5.196e-25,0,0.0001102,1.4056e-06,3.3483e-05,-1.8268e-06,3.4262e-21,-1.3321e-20,9.7e-05,4.8762e-05,1,0.01,0.01,0.098,0
6.2981e-19,-3.8801e-19,-1.3461e-35,9.8278e-25,6.6456e-25,0,0,0,0,4.8781e-17,-2.0605e-17,0,-6.8851e-19,2.7002e-33,-7.8944e-33,4.117e-17,6.2981e-19,-3.8801e-19,-1.346e-35,9.8278e-25,6.6456e-25,0,0.00010907,8.2262e-07,3.2966e-05,-1.0741e-06,4.2123e-21,-1.2315e-20,9.6338e-05,4.7838e-05,1,0.012,0.012,0.098,0
7.2685e-19,-4.3367e-19,-6.2352e-36,1.337e-24,8.2274e-25,0,0,0,0,4.855e-17,-2.0592e-17,0,-4.5892e-19,1.9172e-33,-3.4124e-33,4.1006e-17,7.2685e-19,-4.3367e-19,-6.2352e-36,1.337e-24,8.2274e-25,0,0.00010845,5.8845e-07,3.2711e-05,-7.1591e-07,2.9909e-21,-5.3233e-21,9.5954e-05,4.7425e-05,1,0.014,0.014,0.098,0
8.2388e-19,-4.7932e-19,9.9007e-37,1.6911e-24,9.8092e-25,0,0,0,0,4.8319e-17,-2.0578e-17,0,-2.2932e-19,1.1342e-33,1.0696e-33,4.0842e-17,8.2388e-19,-4.7932e-19,9.9005e-37,1.6911e-24,9.8092e-25,0,0.00010783,3.5428e-07,3.2456e-05,-3.5774e-07,1.7694e-21,1.6685e-21,9.557e-05,4.7012e-05,1,0.016,0.016,0.098,0
9.2144e-19,-5.2819e-19,-2.4679e-37,2.1363e-24,1.1291e-24,0,0,0,0,4.8284e-17,-2.0597e-17,0,-1.2225e-19,6.1275e-34,8.9228e-34,4.0827e-17,9.2144e-19,-5.2819e-19,-2.468e-37,2.1363e-24,1.1291e-24,0,0.00010772,2.6282e-07,3.2394e-05,-1.9071e-07,9.5588e-22,1.3919e-21,9.5536e-05,4.6919e-05,1,0.018,0.018,0.098,0
