,0
0,6.671788510810735e-09
1,1.2890218557961351e-08
2,1.5611600882591992e-08
3,1.59270568693046e-08
4,1.4367638636686604e-08
5,1.1317157206006784e-08
6,7.23203359427848e-09
7,2.8091782440715604e-09
8,-7.910903230529629e-10
9,-1.4652882578935719e-09
10,1.2125921831072653e-08
11,2.674492243437493e-08
12,3.7982548294572845e-08
13,4.4976333517520285e-08
14,4.73574557540572e-08
15,4.510398446835988e-08
16,3.856633608577026e-08
17,2.8530712490109555e-08
18,1.6236188679253264e-08
19,3.0977850099946897e-09
20,1.8674494769497193e-08
21,4.397662295179522e-08
22,6.459489662312577e-08
23,7.863828466323648e-08
24,8.498433589875617e-08
25,8.317974114911236e-08
26,7.340532271814581e-08
27,5.651934193908608e-08
28,3.411669278331279e-08
29,8.44181167011526e-09
30,2.7184627501377206e-08
31,6.588700617163996e-08
32,9.77805774677893e-08
33,1.1999939426271472e-07
34,1.307667206665293e-07
35,1.292328490340864e-07
36,1.1536564736134727e-07
37,9.003609851409896e-08
38,5.528176013597755e-08
39,1.4535086463848897e-08
40,3.860280025965033e-08
41,9.4600575552427e-08
42,1.406405902133859e-07
43,1.7281596381311616e-07
44,1.8885791934267097e-07
45,1.8763001042571228e-07
46,1.6880172663110804e-07
47,1.3299317771077845e-07
48,8.245580570480268e-08
49,2.2015407209490316e-08
50,5.4307538011627516e-08
51,1.3326627566123179e-07
52,1.9736675838695937e-07
53,2.4177281474763725e-07
54,2.6422989428475137e-07
55,2.6364188970728757e-07
56,2.392356686091648e-07
57,1.9069970323607424e-07
58,1.195555581003349e-07
59,3.178106986481482e-08
60,7.649424784251116e-08
61,1.867859436018033e-07
62,2.7379259958021314e-07
63,3.3268970000673414e-07
64,3.626617784137307e-07
65,3.634901246799298e-07
66,3.3382137146374345e-07
67,2.7104109046451007e-07
68,1.7331672773233937e-07
69,4.545682925230713e-08
70,1.0908256422324652e-07
71,2.6359158716911085e-07
72,3.783406981311467e-07
73,4.5254890222722294e-07
74,4.902565864780387e-07
75,4.938568311230769e-07
76,4.615442497653759e-07
77,3.8635957306988155e-07
78,2.5725615724202976e-07
79,6.750417373268677e-08
80,1.6145187623891478e-07
81,3.801736457526591e-07
82,5.234570331369071e-07
83,6.089348529236969e-07
84,6.519821093439602e-07
85,6.601588729262859e-07
86,6.321654117977653e-07
87,5.556337951563079e-07
88,4.0190269250334334e-07
89,1.1908021791800885e-07
90,2.773956286412374e-07
91,5.722522946590166e-07
92,7.264328202837527e-07
93,8.07788381834557e-07
94,8.486032961342468e-07
95,8.626503414445695e-07
96,8.513443259355607e-07
97,8.02137765536481e-07
98,6.757145793318353e-07
99,3.680225639985053e-07
